source_file,target_file,source_folder,target_folder,dependency_type,source_component,target_component,participates_in_cycle,is_organized,project,snapshot,date
./DocuSense/DocuSense_backup_20260328/AIProcessing/DocumentNormalizer.swift,./DocuSense/DocuSense_backup_20260328/Domain/CoreData.swift,DocuSense/DocuSense_backup_20260328/AIProcessing,DocuSense/DocuSense_backup_20260328/Domain,CoreData,2,0,False,True,DocuSense,DocuSense_backup_20260328,2026-03-28
./DocuSense/DocuSense_backup_20260328/AIProcessing/OCRProcessor.swift,./DocuSense/DocuSense_backup_20260328/Domain/ImageData.swift,DocuSense/DocuSense_backup_20260328/AIProcessing,DocuSense/DocuSense_backup_20260328/Domain,ImageData,2,0,False,True,DocuSense,DocuSense_backup_20260328,2026-03-28
./DocuSense/DocuSense_backup_20260328/Application/IngestionController.swift,./DocuSense/DocuSense_backup_20260328/AIProcessing/OCRProcessor.swift,DocuSense/DocuSense_backup_20260328/Application,DocuSense/DocuSense_backup_20260328/AIProcessing,OCRProcessor,3,2,False,True,DocuSense,DocuSense_backup_20260328,2026-03-28
./DocuSense/DocuSense_backup_20260328/Application/IngestionController.swift,./DocuSense/DocuSense_backup_20260328/Domain/ImageData.swift,DocuSense/DocuSense_backup_20260328/Application,DocuSense/DocuSense_backup_20260328/Domain,ImageData,3,0,False,True,DocuSense,DocuSense_backup_20260328,2026-03-28
./DocuSense/DocuSense_backup_20260328/Application/IngestionController.swift,./DocuSense/DocuSense_backup_20260328/AIProcessing/DocumentClassifier.swift,DocuSense/DocuSense_backup_20260328/Application,DocuSense/DocuSense_backup_20260328/AIProcessing,DocumentClassifier,3,2,False,True,DocuSense,DocuSense_backup_20260328,2026-03-28
./DocuSense/DocuSense_backup_20260328/Application/IngestionController.swift,./DocuSense/DocuSense_backup_20260328/AIProcessing/PatternDetector.swift,DocuSense/DocuSense_backup_20260328/Application,DocuSense/DocuSense_backup_20260328/AIProcessing,PatternDetector,3,2,False,True,DocuSense,DocuSense_backup_20260328,2026-03-28
./DocuSense/DocuSense_backup_20260328/Application/IngestionController.swift,./DocuSense/DocuSense_backup_20260328/Domain/Document.swift,DocuSense/DocuSense_backup_20260328/Application,DocuSense/DocuSense_backup_20260328/Domain,Document,3,0,False,True,DocuSense,DocuSense_backup_20260328,2026-03-28
./DocuSense/DocuSense_backup_20260328/Application/IngestionController.swift,./DocuSense/DocuSense_backup_20260328/Infrastructure/DocumentStore.swift,DocuSense/DocuSense_backup_20260328/Application,DocuSense/DocuSense_backup_20260328/Infrastructure,DocumentStore,3,1,False,True,DocuSense,DocuSense_backup_20260328,2026-03-28
./DocuSense/DocuSense_backup_20260328/Application/IngestionController.swift,./DocuSense/DocuSense_backup_20260328/AIProcessing/OCRProcessor.swift,DocuSense/DocuSense_backup_20260328/Application,DocuSense/DocuSense_backup_20260328/AIProcessing,OCRRow,3,2,False,True,DocuSense,DocuSense_backup_20260328,2026-03-28
./DocuSense/DocuSense_backup_20260328/Application/IngestionController.swift,./DocuSense/DocuSense_backup_20260328/AIProcessing/DocumentNormalizer.swift,DocuSense/DocuSense_backup_20260328/Application,DocuSense/DocuSense_backup_20260328/AIProcessing,DocumentNormalizer,3,2,False,True,DocuSense,DocuSense_backup_20260328,2026-03-28
./DocuSense/DocuSense_backup_20260328/Infrastructure/DocumentStore.swift,./DocuSense/DocuSense_backup_20260328/Domain/Document.swift,DocuSense/DocuSense_backup_20260328/Infrastructure,DocuSense/DocuSense_backup_20260328/Domain,Document,1,0,False,True,DocuSense,DocuSense_backup_20260328,2026-03-28
