ignored_type,reason,num_declarations,declaration_files,project,snapshot,date
Coordinator,duplicate_type_name,2,./DocuSense/DocuSense_backup_20260328/Presentation/CameraView.swift;./DocuSense/DocuSense_backup_20260328/Presentation/DocumentPicker.swift,DocuSense,DocuSense_backup_20260328,2026-03-28
Action,configured_ignore_type,,,DocuSense,DocuSense_backup_20260328,2026-03-28
Body,configured_ignore_type,,,DocuSense,DocuSense_backup_20260328,2026-03-28
CodingKeys,configured_ignore_type,,,DocuSense,DocuSense_backup_20260328,2026-03-28
Constants,configured_ignore_type,,,DocuSense,DocuSense_backup_20260328,2026-03-28
Error,configured_ignore_type,,,DocuSense,DocuSense_backup_20260328,2026-03-28
ID,configured_ignore_type,,,DocuSense,DocuSense_backup_20260328,2026-03-28
Preview,configured_ignore_type,,,DocuSense,DocuSense_backup_20260328,2026-03-28
Previews,configured_ignore_type,,,DocuSense,DocuSense_backup_20260328,2026-03-28
State,configured_ignore_type,,,DocuSense,DocuSense_backup_20260328,2026-03-28
Coordinator,duplicate_type_name,2,./DocuSense/DocuSense_backup_20260329/Presentation/CameraView.swift;./DocuSense/DocuSense_backup_20260329/Presentation/DocumentPicker.swift,DocuSense,DocuSense_backup_20260329,2026-03-29
Action,configured_ignore_type,,,DocuSense,DocuSense_backup_20260329,2026-03-29
Body,configured_ignore_type,,,DocuSense,DocuSense_backup_20260329,2026-03-29
CodingKeys,configured_ignore_type,,,DocuSense,DocuSense_backup_20260329,2026-03-29
Constants,configured_ignore_type,,,DocuSense,DocuSense_backup_20260329,2026-03-29
Error,configured_ignore_type,,,DocuSense,DocuSense_backup_20260329,2026-03-29
ID,configured_ignore_type,,,DocuSense,DocuSense_backup_20260329,2026-03-29
Preview,configured_ignore_type,,,DocuSense,DocuSense_backup_20260329,2026-03-29
Previews,configured_ignore_type,,,DocuSense,DocuSense_backup_20260329,2026-03-29
State,configured_ignore_type,,,DocuSense,DocuSense_backup_20260329,2026-03-29
Coordinator,duplicate_type_name,2,./DocuSense/DocuSense_backup_20260330/Presentation/CameraView.swift;./DocuSense/DocuSense_backup_20260330/Presentation/DocumentPicker.swift,DocuSense,DocuSense_backup_20260330,2026-03-30
Action,configured_ignore_type,,,DocuSense,DocuSense_backup_20260330,2026-03-30
Body,configured_ignore_type,,,DocuSense,DocuSense_backup_20260330,2026-03-30
CodingKeys,configured_ignore_type,,,DocuSense,DocuSense_backup_20260330,2026-03-30
Constants,configured_ignore_type,,,DocuSense,DocuSense_backup_20260330,2026-03-30
Error,configured_ignore_type,,,DocuSense,DocuSense_backup_20260330,2026-03-30
ID,configured_ignore_type,,,DocuSense,DocuSense_backup_20260330,2026-03-30
Preview,configured_ignore_type,,,DocuSense,DocuSense_backup_20260330,2026-03-30
Previews,configured_ignore_type,,,DocuSense,DocuSense_backup_20260330,2026-03-30
State,configured_ignore_type,,,DocuSense,DocuSense_backup_20260330,2026-03-30
Coordinator,duplicate_type_name,2,./DocuSense/DocuSense_backup_20260331/Presentation/CameraView.swift;./DocuSense/DocuSense_backup_20260331/Presentation/DocumentPicker.swift,DocuSense,DocuSense_backup_20260331,2026-03-31
Action,configured_ignore_type,,,DocuSense,DocuSense_backup_20260331,2026-03-31
Body,configured_ignore_type,,,DocuSense,DocuSense_backup_20260331,2026-03-31
CodingKeys,configured_ignore_type,,,DocuSense,DocuSense_backup_20260331,2026-03-31
Constants,configured_ignore_type,,,DocuSense,DocuSense_backup_20260331,2026-03-31
Error,configured_ignore_type,,,DocuSense,DocuSense_backup_20260331,2026-03-31
ID,configured_ignore_type,,,DocuSense,DocuSense_backup_20260331,2026-03-31
Preview,configured_ignore_type,,,DocuSense,DocuSense_backup_20260331,2026-03-31
Previews,configured_ignore_type,,,DocuSense,DocuSense_backup_20260331,2026-03-31
State,configured_ignore_type,,,DocuSense,DocuSense_backup_20260331,2026-03-31
Coordinator,duplicate_type_name,2,./DocuSense/DocuSense_backup_20260401/Presentation/CameraView.swift;./DocuSense/DocuSense_backup_20260401/Presentation/DocumentPicker.swift,DocuSense,DocuSense_backup_20260401,2026-04-01
Action,configured_ignore_type,,,DocuSense,DocuSense_backup_20260401,2026-04-01
Body,configured_ignore_type,,,DocuSense,DocuSense_backup_20260401,2026-04-01
CodingKeys,configured_ignore_type,,,DocuSense,DocuSense_backup_20260401,2026-04-01
Constants,configured_ignore_type,,,DocuSense,DocuSense_backup_20260401,2026-04-01
Error,configured_ignore_type,,,DocuSense,DocuSense_backup_20260401,2026-04-01
ID,configured_ignore_type,,,DocuSense,DocuSense_backup_20260401,2026-04-01
Preview,configured_ignore_type,,,DocuSense,DocuSense_backup_20260401,2026-04-01
Previews,configured_ignore_type,,,DocuSense,DocuSense_backup_20260401,2026-04-01
State,configured_ignore_type,,,DocuSense,DocuSense_backup_20260401,2026-04-01
Coordinator,duplicate_type_name,2,./DocuSense/DocuSense_backup_20260402/Presentation/CameraView.swift;./DocuSense/DocuSense_backup_20260402/Presentation/DocumentPicker.swift,DocuSense,DocuSense_backup_20260402,2026-04-02
Action,configured_ignore_type,,,DocuSense,DocuSense_backup_20260402,2026-04-02
Body,configured_ignore_type,,,DocuSense,DocuSense_backup_20260402,2026-04-02
CodingKeys,configured_ignore_type,,,DocuSense,DocuSense_backup_20260402,2026-04-02
