project,snapshot,date,cyclic_module
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/App
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/AutoDetection
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/Barcode
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/FindRetaurants
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/FoodNews
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/Games
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/History
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/MenuScan
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/Preferences
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/Recipes
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/Recipes/MyRecipe
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/Recipes/RecipeDetail
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/Recipes/RecipeGrid
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/Recipes/Search
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/Setting
MenuCal,MenuCal_backup_20251225,2025-12-25,MenuCal/MenuCal_backup_20251225/Features/VisualScan
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/App
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/AutoDetection
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/Barcode
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/FindRetaurants
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/FoodNews
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/Games
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/History
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/MenuScan
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/Preferences
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/Recipes
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/Recipes/RecipeDetail
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/Recipes/RecipeGrid
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/Recipes/RecipeGrid/MyRecipe
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/Recipes/Search
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/Setting
MenuCal,MenuCal_backup_20251226,2025-12-26,MenuCal/MenuCal_backup_20251226/Features/VisualScan
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/App
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/DevTools
MenuCal,MenuCal_backup_20251227,2025-12-27,MenuCal/MenuCal_backup_20251227/Features/Analytics
