ignored_type,reason,num_declarations,declaration_files,project,snapshot,date
Coordinator,duplicate_type_name,2,./MenuCal/MenuCal_backup_20251225/Features/MenuScan/DocumentScanner.swift;./MenuCal/MenuCal_backup_20251225/Features/MenuScan/TextDocumentCameraView.swift,MenuCal,MenuCal_backup_20251225,2025-12-25
Action,configured_ignore_type,,,MenuCal,MenuCal_backup_20251225,2025-12-25
Body,configured_ignore_type,,,MenuCal,MenuCal_backup_20251225,2025-12-25
CodingKeys,configured_ignore_type,,,MenuCal,MenuCal_backup_20251225,2025-12-25
Constants,configured_ignore_type,,,MenuCal,MenuCal_backup_20251225,2025-12-25
Error,configured_ignore_type,,,MenuCal,MenuCal_backup_20251225,2025-12-25
ID,configured_ignore_type,,,MenuCal,MenuCal_backup_20251225,2025-12-25
Preview,configured_ignore_type,,,MenuCal,MenuCal_backup_20251225,2025-12-25
Previews,configured_ignore_type,,,MenuCal,MenuCal_backup_20251225,2025-12-25
State,configured_ignore_type,,,MenuCal,MenuCal_backup_20251225,2025-12-25
Coordinator,duplicate_type_name,2,./MenuCal/MenuCal_backup_20251226/Features/MenuScan/DocumentScanner.swift;./MenuCal/MenuCal_backup_20251226/Features/MenuScan/TextDocumentCameraView.swift,MenuCal,MenuCal_backup_20251226,2025-12-26
Action,configured_ignore_type,,,MenuCal,MenuCal_backup_20251226,2025-12-26
Body,configured_ignore_type,,,MenuCal,MenuCal_backup_20251226,2025-12-26
CodingKeys,configured_ignore_type,,,MenuCal,MenuCal_backup_20251226,2025-12-26
Constants,configured_ignore_type,,,MenuCal,MenuCal_backup_20251226,2025-12-26
Error,configured_ignore_type,,,MenuCal,MenuCal_backup_20251226,2025-12-26
ID,configured_ignore_type,,,MenuCal,MenuCal_backup_20251226,2025-12-26
Preview,configured_ignore_type,,,MenuCal,MenuCal_backup_20251226,2025-12-26
Previews,configured_ignore_type,,,MenuCal,MenuCal_backup_20251226,2025-12-26
State,configured_ignore_type,,,MenuCal,MenuCal_backup_20251226,2025-12-26
Coordinator,duplicate_type_name,2,./MenuCal/MenuCal_backup_20251227/Features/FoodPhoto/FoodPhotoView.swift;./MenuCal/MenuCal_backup_20251227/Features/MenuScan/TextDocumentCameraView.swift,MenuCal,MenuCal_backup_20251227,2025-12-27
Action,configured_ignore_type,,,MenuCal,MenuCal_backup_20251227,2025-12-27
Body,configured_ignore_type,,,MenuCal,MenuCal_backup_20251227,2025-12-27
CodingKeys,configured_ignore_type,,,MenuCal,MenuCal_backup_20251227,2025-12-27
Constants,configured_ignore_type,,,MenuCal,MenuCal_backup_20251227,2025-12-27
Error,configured_ignore_type,,,MenuCal,MenuCal_backup_20251227,2025-12-27
ID,configured_ignore_type,,,MenuCal,MenuCal_backup_20251227,2025-12-27
Preview,configured_ignore_type,,,MenuCal,MenuCal_backup_20251227,2025-12-27
Previews,configured_ignore_type,,,MenuCal,MenuCal_backup_20251227,2025-12-27
State,configured_ignore_type,,,MenuCal,MenuCal_backup_20251227,2025-12-27
