source_file,target_file,source_folder,target_folder,dependency_type,source_component,target_component,participates_in_cycle,is_organized,project,snapshot,date
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Classification/EvidenceClassificationModule.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Shared/NCError.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Classification,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Shared,NCError,20,17,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Classification/EvidenceClassificationModule.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models/Interaction.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Classification,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models,Interaction,20,1,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Literature/LiteratureRetrievalModule.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Shared/NCError.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Literature,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Shared,NCError,31,17,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Literature/LiteratureRetrievalModule.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models/Interaction.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Literature,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models,Interaction,31,1,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Literature/LiteratureRetrievalModule.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models/Evidence.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Literature,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models,Evidence,31,1,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Patterns/EvidencePatternDetectionModule.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models/Interaction.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Patterns,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models,Interaction,27,1,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Normalization/IngredientNormalizationModule.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Shared/NCError.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Normalization,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Shared,NCError,23,17,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Normalization/IngredientNormalizationModule.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models/Supplement.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Normalization,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models,SupplementIngredient,23,1,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/OCR/ImageOCRModule.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Shared/NCError.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/OCR,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Shared,NCError,33,17,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Extraction/IngredientExtractionModule.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Shared/NCError.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Extraction,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Shared,NCError,18,17,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Extraction/IngredientExtractionModule.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models/Supplement.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Extraction,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models,SupplementIngredient,18,1,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Validation/OutputSchemaValidator.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models/Interaction.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/AIProcessing/Validation,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models,Interaction,32,1,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Results/ResultAssemblyCoordinator.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models/Interaction.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Results,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models,Interaction,9,1,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Results/ResultAssemblyCoordinator.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models/Supplement.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Results,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models,Supplement,9,1,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Controllers/AnalysisController.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Results/ResultAssemblyCoordinator.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Controllers,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Results,AnalysisResult,13,9,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Controllers/AnalysisController.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Services/InteractionAnalysisService.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Controllers,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Services,InteractionAnalysisService,13,12,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Controllers/AnalysisController.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Data/Repositories/RepositoryInterfaces.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Controllers,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Data/Repositories,UserLibraryRepository,13,4,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Controllers/AnalysisController.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Policy/Audit/AuditLogger.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Controllers,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Policy/Audit,AuditLogger,13,10,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Controllers/AnalysisController.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models/Supplement.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Controllers,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models,Supplement,13,1,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Controllers/AnalysisController.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Data/Repositories/RepositoryInterfaces.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Controllers,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Data/Repositories,SupplementRepository,13,4,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Session/SessionStateManager.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models/Supplement.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Application/Session,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Domain/Models,Supplement,8,1,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Infrastructure/Storage/SecureStorage.swift,./NutriCompass/NutriCompass_backup_20260207/NutriCompass/Shared/NCError.swift,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Infrastructure/Storage,NutriCompass/NutriCompass_backup_20260207/NutriCompass/Shared,NCError,37,17,False,True,NutriCompass,NutriCompass_backup_20260207,2026-02-07
