ignored_type,reason,num_declarations,declaration_files,project,snapshot,date
Action,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260207,2026-02-07
Body,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260207,2026-02-07
CodingKeys,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260207,2026-02-07
Constants,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260207,2026-02-07
Error,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260207,2026-02-07
ID,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260207,2026-02-07
Preview,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260207,2026-02-07
Previews,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260207,2026-02-07
State,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260207,2026-02-07
Action,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260208,2026-02-08
Body,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260208,2026-02-08
CodingKeys,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260208,2026-02-08
Constants,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260208,2026-02-08
Error,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260208,2026-02-08
ID,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260208,2026-02-08
Preview,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260208,2026-02-08
Previews,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260208,2026-02-08
State,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260208,2026-02-08
Action,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260209,2026-02-09
Body,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260209,2026-02-09
CodingKeys,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260209,2026-02-09
Constants,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260209,2026-02-09
Error,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260209,2026-02-09
ID,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260209,2026-02-09
Preview,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260209,2026-02-09
Previews,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260209,2026-02-09
State,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260209,2026-02-09
Action,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260210,2026-02-10
Body,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260210,2026-02-10
CodingKeys,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260210,2026-02-10
Constants,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260210,2026-02-10
Error,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260210,2026-02-10
ID,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260210,2026-02-10
Preview,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260210,2026-02-10
Previews,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260210,2026-02-10
State,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260210,2026-02-10
Action,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260211,2026-02-11
Body,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260211,2026-02-11
CodingKeys,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260211,2026-02-11
Constants,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260211,2026-02-11
Error,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260211,2026-02-11
ID,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260211,2026-02-11
Preview,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260211,2026-02-11
Previews,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260211,2026-02-11
State,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260211,2026-02-11
Action,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260212,2026-02-12
Body,configured_ignore_type,,,NutriCompass,NutriCompass_backup_20260212,2026-02-12
