project,snapshot,date,cyclic_module
PartGuard,PartGuard_backup_20260428,2026-04-28,PartGuard/PartGuard_backup_20260428/App
PartGuard,PartGuard_backup_20260428,2026-04-28,PartGuard/PartGuard_backup_20260428/Presentation/Views
PartGuard,PartGuard_backup_20260429,2026-04-29,PartGuard/PartGuard_backup_20260429/App
PartGuard,PartGuard_backup_20260429,2026-04-29,PartGuard/PartGuard_backup_20260429/Data/Models
PartGuard,PartGuard_backup_20260429,2026-04-29,PartGuard/PartGuard_backup_20260429/Data/Providers
PartGuard,PartGuard_backup_20260429,2026-04-29,PartGuard/PartGuard_backup_20260429/Domain/Services
PartGuard,PartGuard_backup_20260429,2026-04-29,PartGuard/PartGuard_backup_20260429/Presentation/Views
PartGuard,PartGuard_backup_20260430,2026-04-30,PartGuard/PartGuard_backup_20260430/App
PartGuard,PartGuard_backup_20260430,2026-04-30,PartGuard/PartGuard_backup_20260430/Data/Models
PartGuard,PartGuard_backup_20260430,2026-04-30,PartGuard/PartGuard_backup_20260430/Data/Providers
PartGuard,PartGuard_backup_20260430,2026-04-30,PartGuard/PartGuard_backup_20260430/Domain/Services
PartGuard,PartGuard_backup_20260430,2026-04-30,PartGuard/PartGuard_backup_20260430/Presentation/Views
PartGuard,PartGuard_backup_20260501,2026-05-01,PartGuard/PartGuard_backup_20260501/App
PartGuard,PartGuard_backup_20260501,2026-05-01,PartGuard/PartGuard_backup_20260501/Data/Models
PartGuard,PartGuard_backup_20260501,2026-05-01,PartGuard/PartGuard_backup_20260501/Data/Providers
PartGuard,PartGuard_backup_20260501,2026-05-01,PartGuard/PartGuard_backup_20260501/Domain/Services
PartGuard,PartGuard_backup_20260501,2026-05-01,PartGuard/PartGuard_backup_20260501/Presentation/Views
