ignored_type,reason,num_declarations,declaration_files,project,snapshot,date
Action,configured_ignore_type,,,PartGuard,PartGuard_backup_20260414,2026-04-14
Body,configured_ignore_type,,,PartGuard,PartGuard_backup_20260414,2026-04-14
CodingKeys,configured_ignore_type,,,PartGuard,PartGuard_backup_20260414,2026-04-14
Constants,configured_ignore_type,,,PartGuard,PartGuard_backup_20260414,2026-04-14
Error,configured_ignore_type,,,PartGuard,PartGuard_backup_20260414,2026-04-14
ID,configured_ignore_type,,,PartGuard,PartGuard_backup_20260414,2026-04-14
Preview,configured_ignore_type,,,PartGuard,PartGuard_backup_20260414,2026-04-14
Previews,configured_ignore_type,,,PartGuard,PartGuard_backup_20260414,2026-04-14
State,configured_ignore_type,,,PartGuard,PartGuard_backup_20260414,2026-04-14
Action,configured_ignore_type,,,PartGuard,PartGuard_backup_20260415,2026-04-15
Body,configured_ignore_type,,,PartGuard,PartGuard_backup_20260415,2026-04-15
CodingKeys,configured_ignore_type,,,PartGuard,PartGuard_backup_20260415,2026-04-15
Constants,configured_ignore_type,,,PartGuard,PartGuard_backup_20260415,2026-04-15
Error,configured_ignore_type,,,PartGuard,PartGuard_backup_20260415,2026-04-15
ID,configured_ignore_type,,,PartGuard,PartGuard_backup_20260415,2026-04-15
Preview,configured_ignore_type,,,PartGuard,PartGuard_backup_20260415,2026-04-15
Previews,configured_ignore_type,,,PartGuard,PartGuard_backup_20260415,2026-04-15
State,configured_ignore_type,,,PartGuard,PartGuard_backup_20260415,2026-04-15
Action,configured_ignore_type,,,PartGuard,PartGuard_backup_20260416,2026-04-16
Body,configured_ignore_type,,,PartGuard,PartGuard_backup_20260416,2026-04-16
CodingKeys,configured_ignore_type,,,PartGuard,PartGuard_backup_20260416,2026-04-16
Constants,configured_ignore_type,,,PartGuard,PartGuard_backup_20260416,2026-04-16
Error,configured_ignore_type,,,PartGuard,PartGuard_backup_20260416,2026-04-16
ID,configured_ignore_type,,,PartGuard,PartGuard_backup_20260416,2026-04-16
Preview,configured_ignore_type,,,PartGuard,PartGuard_backup_20260416,2026-04-16
Previews,configured_ignore_type,,,PartGuard,PartGuard_backup_20260416,2026-04-16
State,configured_ignore_type,,,PartGuard,PartGuard_backup_20260416,2026-04-16
Action,configured_ignore_type,,,PartGuard,PartGuard_backup_20260423,2026-04-23
Body,configured_ignore_type,,,PartGuard,PartGuard_backup_20260423,2026-04-23
CodingKeys,configured_ignore_type,,,PartGuard,PartGuard_backup_20260423,2026-04-23
Constants,configured_ignore_type,,,PartGuard,PartGuard_backup_20260423,2026-04-23
Error,configured_ignore_type,,,PartGuard,PartGuard_backup_20260423,2026-04-23
ID,configured_ignore_type,,,PartGuard,PartGuard_backup_20260423,2026-04-23
Preview,configured_ignore_type,,,PartGuard,PartGuard_backup_20260423,2026-04-23
Previews,configured_ignore_type,,,PartGuard,PartGuard_backup_20260423,2026-04-23
State,configured_ignore_type,,,PartGuard,PartGuard_backup_20260423,2026-04-23
Action,configured_ignore_type,,,PartGuard,PartGuard_backup_20260424,2026-04-24
Body,configured_ignore_type,,,PartGuard,PartGuard_backup_20260424,2026-04-24
CodingKeys,configured_ignore_type,,,PartGuard,PartGuard_backup_20260424,2026-04-24
Constants,configured_ignore_type,,,PartGuard,PartGuard_backup_20260424,2026-04-24
Error,configured_ignore_type,,,PartGuard,PartGuard_backup_20260424,2026-04-24
ID,configured_ignore_type,,,PartGuard,PartGuard_backup_20260424,2026-04-24
Preview,configured_ignore_type,,,PartGuard,PartGuard_backup_20260424,2026-04-24
Previews,configured_ignore_type,,,PartGuard,PartGuard_backup_20260424,2026-04-24
State,configured_ignore_type,,,PartGuard,PartGuard_backup_20260424,2026-04-24
Action,configured_ignore_type,,,PartGuard,PartGuard_backup_20260425,2026-04-25
Body,configured_ignore_type,,,PartGuard,PartGuard_backup_20260425,2026-04-25
CodingKeys,configured_ignore_type,,,PartGuard,PartGuard_backup_20260425,2026-04-25
Constants,configured_ignore_type,,,PartGuard,PartGuard_backup_20260425,2026-04-25
Error,configured_ignore_type,,,PartGuard,PartGuard_backup_20260425,2026-04-25
ID,configured_ignore_type,,,PartGuard,PartGuard_backup_20260425,2026-04-25
Preview,configured_ignore_type,,,PartGuard,PartGuard_backup_20260425,2026-04-25
Previews,configured_ignore_type,,,PartGuard,PartGuard_backup_20260425,2026-04-25
State,configured_ignore_type,,,PartGuard,PartGuard_backup_20260425,2026-04-25
Action,configured_ignore_type,,,PartGuard,PartGuard_backup_20260426,2026-04-26
Body,configured_ignore_type,,,PartGuard,PartGuard_backup_20260426,2026-04-26
CodingKeys,configured_ignore_type,,,PartGuard,PartGuard_backup_20260426,2026-04-26
Constants,configured_ignore_type,,,PartGuard,PartGuard_backup_20260426,2026-04-26
Error,configured_ignore_type,,,PartGuard,PartGuard_backup_20260426,2026-04-26
ID,configured_ignore_type,,,PartGuard,PartGuard_backup_20260426,2026-04-26
Preview,configured_ignore_type,,,PartGuard,PartGuard_backup_20260426,2026-04-26
Previews,configured_ignore_type,,,PartGuard,PartGuard_backup_20260426,2026-04-26
State,configured_ignore_type,,,PartGuard,PartGuard_backup_20260426,2026-04-26
Action,configured_ignore_type,,,PartGuard,PartGuard_backup_20260427,2026-04-27
Body,configured_ignore_type,,,PartGuard,PartGuard_backup_20260427,2026-04-27
CodingKeys,configured_ignore_type,,,PartGuard,PartGuard_backup_20260427,2026-04-27
Constants,configured_ignore_type,,,PartGuard,PartGuard_backup_20260427,2026-04-27
Error,configured_ignore_type,,,PartGuard,PartGuard_backup_20260427,2026-04-27
ID,configured_ignore_type,,,PartGuard,PartGuard_backup_20260427,2026-04-27
Preview,configured_ignore_type,,,PartGuard,PartGuard_backup_20260427,2026-04-27
Previews,configured_ignore_type,,,PartGuard,PartGuard_backup_20260427,2026-04-27
State,configured_ignore_type,,,PartGuard,PartGuard_backup_20260427,2026-04-27
Action,configured_ignore_type,,,PartGuard,PartGuard_backup_20260428,2026-04-28
Body,configured_ignore_type,,,PartGuard,PartGuard_backup_20260428,2026-04-28
CodingKeys,configured_ignore_type,,,PartGuard,PartGuard_backup_20260428,2026-04-28
Constants,configured_ignore_type,,,PartGuard,PartGuard_backup_20260428,2026-04-28
Error,configured_ignore_type,,,PartGuard,PartGuard_backup_20260428,2026-04-28
ID,configured_ignore_type,,,PartGuard,PartGuard_backup_20260428,2026-04-28
Preview,configured_ignore_type,,,PartGuard,PartGuard_backup_20260428,2026-04-28
Previews,configured_ignore_type,,,PartGuard,PartGuard_backup_20260428,2026-04-28
State,configured_ignore_type,,,PartGuard,PartGuard_backup_20260428,2026-04-28
Action,configured_ignore_type,,,PartGuard,PartGuard_backup_20260429,2026-04-29
Body,configured_ignore_type,,,PartGuard,PartGuard_backup_20260429,2026-04-29
CodingKeys,configured_ignore_type,,,PartGuard,PartGuard_backup_20260429,2026-04-29
Constants,configured_ignore_type,,,PartGuard,PartGuard_backup_20260429,2026-04-29
Error,configured_ignore_type,,,PartGuard,PartGuard_backup_20260429,2026-04-29
ID,configured_ignore_type,,,PartGuard,PartGuard_backup_20260429,2026-04-29
Preview,configured_ignore_type,,,PartGuard,PartGuard_backup_20260429,2026-04-29
Previews,configured_ignore_type,,,PartGuard,PartGuard_backup_20260429,2026-04-29
State,configured_ignore_type,,,PartGuard,PartGuard_backup_20260429,2026-04-29
SymptomMap,duplicate_type_name,2,./PartGuard/PartGuard_backup_20260430/Data/Providers/SymptomMapLoader.swift;./PartGuard/PartGuard_backup_20260430/Data/Providers/SymptomMapService.swift,PartGuard,PartGuard_backup_20260430,2026-04-30
Action,configured_ignore_type,,,PartGuard,PartGuard_backup_20260430,2026-04-30
Body,configured_ignore_type,,,PartGuard,PartGuard_backup_20260430,2026-04-30
CodingKeys,configured_ignore_type,,,PartGuard,PartGuard_backup_20260430,2026-04-30
Constants,configured_ignore_type,,,PartGuard,PartGuard_backup_20260430,2026-04-30
Error,configured_ignore_type,,,PartGuard,PartGuard_backup_20260430,2026-04-30
ID,configured_ignore_type,,,PartGuard,PartGuard_backup_20260430,2026-04-30
Preview,configured_ignore_type,,,PartGuard,PartGuard_backup_20260430,2026-04-30
Previews,configured_ignore_type,,,PartGuard,PartGuard_backup_20260430,2026-04-30
State,configured_ignore_type,,,PartGuard,PartGuard_backup_20260430,2026-04-30
